total_distance_km,average_trip_speed_kmph,ambient_temperature_C,trip_duration_min,charging_cycles,fast_charging_ratio_%,average_battery_temperature_C,battery_health_%
5292.03,48.74,29.45,15.98,90,39.12,33.28,89.31
9889.47,22.92,31.23,78.84,148,22.4,37.72,84.36
17657.2,52.85,16.5,75.3,340,22.93,30.95,73.45
32902.58,39.72,34.34,71.28,597,36.62,47.78,45.0
34568.49,53.87,12.47,34.75,605,24.08,25.0,45.0
1271.13,44.03,19.96,75.83,50,38.44,25.78,91.35
20919.14,47.27,33.39,24.62,392,22.48,41.16,67.57
17279.03,59.74,20.86,19.95,308,34.37,27.01,77.8
9662.2,29.29,11.74,13.6,145,25.25,25.0,87.77
5674.75,44.96,39.12,85.14,82,61.29,46.14,81.53
14166.99,38.41,20.86,34.64,236,46.97,27.05,81.7
37773.48,21.58,12.21,83.41,705,10.39,25.0,45.0
13604.91,20.58,12.62,31.81,205,35.7,25.34,80.03
21232.83,24.77,18.81,82.61,385,1.98,25.7,74.75
28417.74,45.96,16.23,82.31,510,29.65,25.0,56.01
15181.55,42.69,37.1,83.89,302,31.11,46.32,71.91
38899.5,42.14,21.26,49.69,713,10.71,28.5,45.0
38535.44,21.27,38.16,79.28,714,43.6,44.12,45.0
10819.51,38.77,16.08,86.06,184,41.37,25.0,82.16
20392.69,56.98,27.25,35.97,340,39.28,36.43,70.49
12734.25,35.9,34.08,43.51,223,39.69,43.59,76.1
12108.78,45.0,32.82,67.54,240,34.76,32.31,78.21
2438.59,51.19,31.04,34.03,64,37.39,38.28,90.18
24773.01,51.36,42.37,70.3,440,6.13,50.0,62.94
20604.48,40.77,18.0,15.91,353,49.12,28.56,73.27
3007.67,54.32,27.28,51.88,50,33.62,37.27,88.71
11867.21,35.66,40.94,19.79,212,8.81,50.0,73.4
36422.37,55.55,12.73,33.47,666,29.97,25.0,45.0
10342.91,29.61,11.96,30.69,225,21.82,25.0,86.25
6650.9,31.21,18.17,77.11,124,15.49,32.26,90.84
20088.66,22.12,32.16,25.48,381,71.03,37.64,68.29
39440.37,51.82,19.1,74.68,698,32.37,28.72,45.0
10440.16,36.68,16.66,73.52,191,19.8,25.0,86.76
27213.29,29.16,26.06,49.91,498,9.46,36.39,64.03
30703.16,29.27,31.48,28.71,555,28.66,37.3,45.0
10267.86,56.06,18.7,28.15,186,20.3,30.27,84.47
29400.44,53.36,20.52,47.19,538,23.98,27.01,57.37
15343.54,42.14,31.47,10.7,291,24.93,36.64,76.37
25659.93,44.64,43.1,52.51,496,17.26,47.94,58.1
25707.66,38.97,33.62,86.22,411,29.2,43.32,64.27
21895.21,35.67,37.4,22.38,426,3.9,44.68,65.98
4521.3,56.62,22.84,55.87,50,16.93,31.23,94.26
33576.8,25.02,19.53,86.94,618,15.49,25.0,45.0
13510.42,36.74,25.9,78.84,305,12.05,33.49,77.97
8274.22,33.78,38.25,78.03,149,26.97,47.1,77.53
2590.23,39.93,25.97,75.75,52,43.9,40.05,87.21
24044.82,38.31,39.64,34.72,429,31.18,42.54,65.4
27425.01,40.76,44.61,81.25,515,20.51,50.0,50.95
1646.93,25.6,12.52,85.31,50,17.37,25.0,99.56
20971.63,40.53,11.59,49.66,364,55.87,25.0,72.39
9833.34,29.7,15.24,38.37,176,15.42,25.0,90.63
26161.74,27.37,23.45,43.14,448,11.14,34.26,68.29
7800.29,22.59,14.59,36.74,139,55.39,25.0,87.66
27946.57,50.51,40.47,26.99,498,39.85,50.0,56.58
16082.68,37.1,10.81,59.48,296,53.26,25.0,77.77
37532.47,45.07,21.05,55.01,665,26.08,25.06,45.0
6363.32,49.1,16.46,47.01,110,12.61,25.0,90.0
14301.59,47.17,42.6,17.67,260,27.38,45.56,72.88
5425.47,38.82,33.43,73.75,101,11.82,37.4,88.45
37063.05,35.52,41.92,23.99,681,1.9,48.65,45.0
35216.23,35.04,44.03,19.16,636,27.42,50.0,45.0
11059.72,45.6,27.4,59.85,181,21.32,30.54,82.88
26739.38,39.79,18.2,41.89,488,6.17,29.52,65.45
32871.67,53.97,16.78,14.78,593,5.94,28.97,45.0
22652.83,54.99,17.8,38.45,437,57.31,25.0,67.1
21656.37,26.82,34.8,71.74,423,10.25,37.7,70.06
10432.24,25.45,11.42,59.22,155,38.54,25.0,88.18
4631.01,45.22,11.8,39.02,100,38.03,25.0,92.91
35991.41,32.05,31.29,25.34,675,38.0,35.68,45.0
36116.3,20.74,32.47,60.54,623,44.25,44.67,45.0
25690.96,55.55,33.28,81.0,482,6.35,38.11,61.99
14222.16,29.08,23.02,61.7,281,10.16,33.05,80.49
14619.17,57.17,38.21,75.03,242,24.12,43.94,75.45
29312.27,48.7,28.68,51.72,527,48.07,38.32,53.21
35987.3,50.51,13.69,67.44,659,12.08,25.0,45.0
35596.37,28.06,37.9,81.7,661,18.45,47.58,45.0
31415.15,29.37,43.36,71.85,546,15.42,48.36,45.0
26039.23,40.85,12.1,82.79,502,13.85,25.0,61.76
4281.46,26.88,23.7,44.49,50,37.54,31.47,92.16
7303.52,32.22,27.06,82.34,166,40.68,29.88,88.49
36043.61,32.86,15.13,59.73,669,45.72,25.0,45.0
24650.73,26.39,40.37,79.6,433,10.97,46.96,62.32
1358.69,28.21,19.95,13.15,50,22.07,25.0,94.42
4957.39,51.54,37.41,62.63,64,39.51,47.6,85.56
26876.57,26.69,33.48,77.84,492,30.87,42.56,59.85
1197.4,21.14,30.93,23.94,50,12.73,33.2,93.27
7271.51,45.17,16.72,62.94,138,73.51,25.35,86.89
22400.62,59.04,17.72,76.0,386,23.87,25.0,76.59
27983.91,33.25,11.66,33.04,496,20.49,25.0,67.91
26426.49,24.75,18.42,42.42,484,9.25,25.0,70.32
9746.5,42.82,22.09,55.56,159,16.42,28.04,89.49
28774.99,56.25,39.16,51.53,530,25.11,44.18,50.42
10252.71,51.36,22.82,13.14,171,13.56,33.11,84.0
13690.59,44.9,36.41,17.89,274,7.2,45.69,73.05
30113.16,32.6,25.38,18.04,587,20.34,33.69,45.0
26335.68,41.68,37.47,30.98,471,17.28,42.59,62.65
34119.71,23.65,44.17,29.67,643,42.67,50.0,45.0
26646.9,47.16,18.39,69.38,479,21.34,25.4,67.84
23164.04,49.0,40.18,55.82,398,4.54,47.12,64.2
4653.32,58.6,31.76,71.12,74,23.84,40.15,87.28
15340.92,30.42,38.61,15.59,281,19.15,46.32,72.3
11342.89,20.74,32.81,48.82,162,49.06,43.9,79.97
10515.6,41.82,24.84,35.9,207,47.55,34.11,83.02
38947.41,48.27,17.98,78.0,710,29.03,28.71,45.0
16330.81,51.62,12.45,66.62,322,36.7,25.0,77.72
35789.82,27.75,28.74,79.54,666,52.94,41.14,45.0
25614.41,30.47,44.66,13.71,469,44.21,50.0,59.93
31997.64,40.5,35.83,67.67,573,50.84,46.54,45.0
20602.85,33.22,21.46,53.2,413,28.83,30.59,71.88
23499.25,54.42,38.95,76.0,482,25.26,47.14,62.0
20208.19,38.95,36.91,50.57,359,18.5,44.32,68.5
8614.48,51.98,19.86,53.22,183,10.97,33.32,86.19
29175.63,43.22,10.5,14.14,513,51.69,25.0,54.53
11950.12,50.92,14.14,63.48,203,19.44,25.0,84.96
1948.32,33.31,40.71,31.85,50,10.83,48.45,89.23
26173.42,53.26,39.28,11.58,493,44.19,44.07,59.39
7907.32,30.98,20.33,15.31,117,44.31,25.0,90.48
37677.88,41.84,19.98,86.58,724,17.83,25.99,45.0
38203.21,28.56,37.75,37.69,718,62.82,44.74,45.0
36679.71,39.02,42.82,79.45,683,26.7,50.0,45.0
15436.19,32.73,37.27,86.77,273,35.99,50.0,70.97
1602.81,30.67,31.2,85.46,50,7.28,31.98,92.28
37204.42,58.68,18.49,80.54,604,10.83,25.0,45.0
17699.18,26.4,28.4,81.59,333,54.47,36.85,72.92
38699.54,51.49,18.17,33.12,708,15.22,25.0,45.0
38581.18,59.37,38.28,22.12,654,10.86,49.07,45.0
34267.37,20.8,23.54,61.14,633,48.42,33.4,45.0
12483.51,47.96,39.18,49.05,242,4.88,48.43,75.57
16018.81,30.12,23.36,17.9,245,20.35,26.31,77.25
34194.33,21.62,38.85,64.2,592,14.39,42.81,45.0
13359.96,36.12,21.67,55.03,295,10.06,32.05,79.3
7610.22,57.41,25.4,79.05,134,3.64,26.71,90.77
22715.25,20.47,31.54,58.73,437,32.38,39.58,65.2
37510.04,43.52,12.46,55.92,710,33.57,25.0,45.0
28145.16,40.06,43.19,45.26,522,49.78,46.57,47.58
23232.39,54.94,30.08,47.02,448,26.51,36.49,68.15
4789.88,23.36,27.77,86.35,50,30.0,42.98,87.44
24985.28,47.26,39.38,21.08,449,32.25,47.42,61.25
39612.1,47.2,40.3,45.7,643,41.48,49.51,45.0
6463.28,46.76,28.28,62.47,74,25.17,34.43,89.96
21214.86,57.69,42.45,44.64,372,44.55,50.0,65.45
35217.55,52.92,12.27,32.66,624,27.01,25.0,45.0
29889.98,21.68,13.96,32.99,544,10.28,25.0,56.81
28183.61,38.84,30.89,28.69,512,42.74,35.87,53.82
28396.88,35.92,22.39,37.51,520,42.24,30.69,55.18
15020.15,32.41,26.25,79.73,277,20.21,35.96,74.25
12450.08,38.05,21.48,50.42,235,14.81,30.06,83.83
32565.09,35.37,24.17,29.22,568,29.53,30.0,45.0
32594.42,37.29,38.79,40.76,575,37.64,47.93,45.0
34815.82,59.17,30.77,18.47,632,58.62,37.1,45.0
36616.38,23.55,44.91,82.32,665,53.79,50.0,45.0
20942.35,56.89,37.54,42.66,354,16.99,44.73,69.02
20559.14,39.21,19.58,88.43,401,36.15,25.0,74.87
32133.51,44.95,19.25,37.8,602,70.39,28.71,45.0
26348.59,53.21,21.76,76.91,458,10.51,29.65,68.52
28376.71,34.42,39.51,30.51,511,30.65,45.83,48.29
32035.91,37.22,10.96,16.09,633,20.57,25.0,45.0
35710.21,36.38,18.06,12.54,653,21.48,25.0,45.0
14181.81,34.99,41.67,58.49,268,51.29,45.96,74.36
15647.74,57.02,32.4,34.93,269,49.43,37.57,75.03
4665.3,53.16,17.94,45.48,77,35.63,27.13,90.13
23552.93,24.36,17.67,75.49,466,18.5,26.49,73.06
2401.75,24.32,40.19,29.85,50,30.43,43.36,88.92
19158.32,37.11,41.28,34.69,347,50.65,47.67,67.13
22163.14,23.95,18.96,77.63,403,34.7,26.45,71.88
12175.11,44.76,24.72,49.42,285,24.25,34.28,77.1
24042.5,25.75,39.21,76.21,438,24.72,38.72,65.73
2189.51,40.89,36.99,39.96,50,3.25,39.75,90.58
2456.58,20.29,38.49,41.87,50,45.7,43.48,88.53
33081.42,32.66,28.14,23.37,621,32.99,27.78,45.0
15047.44,47.09,41.9,83.31,238,12.69,50.0,71.89
5955.36,39.36,21.41,81.74,120,13.59,29.21,90.67
21367.49,59.13,15.48,88.74,370,25.47,25.0,74.11
31029.75,54.96,34.81,42.2,518,18.79,39.97,45.0
9417.02,34.36,28.88,75.49,147,31.78,36.71,83.05
25292.73,21.82,39.91,43.2,461,41.48,47.69,61.13
4328.55,53.83,12.84,46.34,114,28.11,25.0,90.65
3015.59,56.45,39.53,76.4,78,9.08,49.68,85.52
21722.83,52.83,20.27,24.19,388,4.94,28.68,72.55
22084.77,25.12,32.92,27.62,426,45.94,40.55,64.27
25859.77,59.92,11.4,35.18,461,20.59,25.0,68.17
29317.56,30.34,31.34,73.05,496,34.43,36.2,63.44
39058.23,48.97,35.1,39.81,711,48.13,42.24,45.0
21135.71,56.32,22.91,38.65,347,32.23,31.22,72.85
13595.3,29.43,17.54,89.91,267,37.95,25.0,84.0
32012.26,56.33,28.82,40.7,602,29.44,40.19,45.0
11562.46,32.38,39.16,29.82,188,5.23,45.03,76.43
18119.89,59.06,21.32,59.86,333,52.65,30.51,75.17
4059.8,31.25,18.84,74.15,77,27.3,25.0,92.31
1988.68,58.14,19.76,15.57,58,12.21,25.0,93.5
38543.29,22.14,43.22,59.51,670,14.27,45.97,45.0
33603.22,48.37,22.57,12.86,626,11.32,28.03,45.0
28142.99,41.28,10.13,52.11,479,19.49,25.0,67.42
16949.16,39.12,37.36,30.56,328,13.72,41.13,73.14
7758.48,28.94,34.47,34.53,168,28.21,45.94,79.76
7101.04,48.22,14.5,47.37,112,17.17,25.0,91.89
10759.47,27.63,44.47,84.17,226,18.9,48.06,77.88
22419.84,42.11,31.28,66.85,368,27.3,38.08,68.53
28869.24,30.13,27.53,84.95,552,48.51,34.12,51.0
26747.7,58.22,23.38,62.8,522,21.78,30.6,55.81
11917.42,21.15,41.45,10.57,225,5.46,44.28,78.93
38239.75,27.99,18.54,31.25,690,19.97,25.28,45.0
29777.98,29.69,20.0,82.46,549,50.35,25.0,54.31
22619.81,36.56,14.28,61.48,396,44.35,25.0,72.84
24857.11,29.31,36.57,88.53,518,46.09,41.35,52.05
17364.4,39.65,30.84,22.48,301,37.41,35.26,74.09
10661.51,54.9,31.32,33.74,227,16.29,40.57,81.72
14882.93,48.48,17.65,38.99,252,29.82,28.76,79.52
30556.0,43.2,32.79,36.12,595,19.51,40.67,45.0
1561.35,23.56,36.79,30.16,79,56.91,40.75,86.59
5526.83,47.76,22.53,45.48,110,61.36,29.04,85.59
2794.1,26.66,38.05,61.38,58,73.25,48.6,84.8
2588.42,51.45,22.21,34.9,50,28.45,31.2,95.12
34362.96,30.0,36.53,16.38,598,33.58,50.0,45.0
28442.66,36.68,11.18,66.68,525,54.96,25.0,58.03
19492.78,34.02,29.29,46.72,391,5.6,33.38,71.51
4815.53,54.35,43.93,54.52,74,32.86,50.0,85.16
20173.02,25.06,44.34,46.43,422,64.15,50.0,61.4
19465.4,42.63,19.86,81.23,339,26.15,25.0,75.72
7754.87,25.68,25.45,54.7,147,15.96,30.29,86.47
17920.21,48.19,12.2,83.86,332,17.26,25.0,80.85
16541.68,56.2,40.57,50.85,298,16.16,48.4,71.02
25018.15,37.38,29.9,33.41,404,56.28,38.42,66.41
25768.65,39.52,23.48,38.44,453,11.16,35.85,65.78
2766.86,57.1,13.95,51.77,55,21.62,26.63,94.8
15609.89,40.84,43.14,52.4,281,39.31,47.07,69.72
25408.54,39.5,28.56,64.99,478,7.44,37.36,67.51
20622.31,43.13,19.9,27.96,394,21.67,25.3,73.82
34403.1,47.57,22.26,62.71,620,55.85,33.76,45.0
26689.05,24.28,19.47,72.29,461,10.41,25.0,67.56
7354.44,52.84,31.06,64.13,172,15.3,34.48,85.52
3752.18,37.42,42.55,48.55,50,27.15,50.0,85.39
26054.35,22.89,39.98,89.33,459,29.49,50.0,58.79
2033.94,51.45,26.11,42.39,50,20.43,30.7,93.08
23845.25,35.08,38.93,18.53,452,37.37,49.01,57.3
37668.98,24.01,24.81,75.72,718,43.91,28.72,45.0
23443.49,45.35,18.83,26.98,422,49.7,25.0,70.45
16138.63,55.21,44.42,67.06,299,24.49,45.74,70.2
26088.24,55.51,20.64,24.32,485,32.81,30.39,66.26
18871.86,58.31,21.33,11.35,388,39.03,29.44,75.0
22279.05,54.71,44.64,22.78,361,25.4,50.0,62.77
37717.13,20.09,14.69,40.16,704,33.5,25.0,45.0
16058.0,35.21,36.62,18.53,301,25.65,44.16,70.06
38486.43,52.74,42.75,25.81,690,29.48,50.0,45.0
36308.68,34.65,27.91,71.17,668,22.76,36.29,45.0
8635.85,44.06,10.09,71.59,176,44.81,25.0,88.74
3705.09,44.25,23.13,75.4,82,26.91,32.02,89.5
4930.34,34.6,13.9,77.29,144,19.67,25.0,91.98
1710.65,56.18,24.57,43.63,50,79.25,27.08,90.94
4683.28,40.13,37.65,79.4,86,15.69,50.0,83.36
27637.26,38.59,25.35,52.07,498,24.07,29.4,63.96
3776.36,59.9,25.12,47.65,82,11.03,29.17,93.73
13440.05,39.74,29.49,67.48,244,43.16,33.99,79.52
33950.14,27.14,30.36,27.11,618,22.31,35.33,45.0
1907.61,40.52,39.97,73.16,50,23.46,44.34,88.04
32764.27,52.56,20.79,44.36,592,39.91,26.38,45.0
11992.34,51.07,38.76,20.18,203,5.91,47.72,76.35
5608.43,51.54,29.81,19.54,112,9.48,37.28,90.6
28172.75,48.32,20.52,23.19,505,56.57,25.0,56.98
25528.77,30.17,20.33,81.25,480,53.36,29.11,65.17
35221.41,54.48,22.64,89.28,643,35.49,33.29,45.0
29667.77,55.74,31.79,38.56,530,36.36,37.83,51.4
32335.76,27.77,18.08,33.37,627,14.61,25.0,45.0
11999.35,25.22,42.21,27.5,216,21.29,48.02,76.82
7920.14,59.02,30.12,75.91,160,25.09,34.35,87.67
30273.98,54.73,42.2,26.74,533,28.05,42.63,45.0
32466.55,55.73,11.62,83.93,540,24.41,25.0,45.0
39629.7,55.46,21.99,63.39,706,33.03,37.71,45.0
17092.09,41.67,10.8,81.77,257,59.0,25.0,78.85
15508.71,45.86,19.53,54.32,276,8.67,25.0,82.7
31280.11,41.81,40.17,65.25,605,26.26,49.06,45.0
14291.34,22.05,11.28,59.56,237,31.77,25.0,81.61
37299.54,49.82,25.27,76.5,626,73.33,34.06,45.0
34478.1,40.21,14.11,76.87,664,34.24,25.0,45.0
17730.77,45.91,24.59,57.18,310,39.65,30.83,76.09
30283.97,40.11,39.36,60.6,550,2.52,46.72,45.0
30427.17,39.67,31.81,83.75,573,38.92,43.37,45.0
5021.83,26.87,35.79,84.39,104,30.56,42.36,87.43
36199.56,31.15,22.22,63.14,677,9.52,33.6,45.0
20704.84,26.35,43.05,10.62,399,57.3,50.0,65.1
33231.84,27.83,34.82,18.35,561,36.07,44.56,45.0
13481.93,58.92,24.76,78.64,210,63.08,33.88,79.24
35925.41,26.12,24.93,16.78,682,28.35,31.13,45.0
16178.87,30.77,42.15,27.08,275,22.48,50.0,68.8
1422.67,43.62,30.17,28.44,50,12.7,38.56,91.22
36309.9,44.41,34.72,58.02,629,36.05,40.18,45.0
4560.18,26.16,24.6,56.13,73,12.4,27.7,93.9
13453.23,51.75,17.83,33.15,236,43.9,27.16,79.85
38052.42,51.41,35.32,26.61,668,53.51,37.64,45.0
38073.68,29.49,31.27,71.16,666,24.22,35.79,45.0
23364.08,31.55,27.55,84.84,433,1.68,30.82,70.09
25641.65,57.52,31.84,14.22,446,32.5,41.42,62.79
18489.38,53.03,17.29,20.65,321,1.67,25.69,80.06
12435.22,47.91,37.79,61.37,171,15.34,45.68,76.31
13817.92,23.29,43.19,74.36,300,12.41,50.0,71.02
27228.22,36.73,41.19,73.3,519,5.16,48.67,51.9
30342.61,42.37,21.25,67.57,539,22.31,33.21,45.0
31871.58,27.5,24.21,80.99,557,37.45,27.16,46.65
31795.11,37.93,38.29,27.39,578,53.04,49.14,45.0
4557.04,44.04,30.83,18.58,82,17.65,37.54,88.65
20282.39,33.1,29.18,59.23,337,15.68,41.4,69.58
3244.79,51.24,42.43,75.78,50,24.38,50.0,86.4
22431.63,53.62,28.76,56.56,395,19.87,38.64,68.8
18219.69,32.94,28.02,87.04,292,29.51,36.07,73.94
35620.46,53.55,11.47,73.65,652,1.27,25.0,45.0
14685.69,24.14,12.43,66.06,271,9.16,25.0,80.69
5565.61,53.51,10.26,14.82,77,20.08,25.0,92.45
6576.68,26.11,41.96,18.62,106,34.02,50.0,80.39
30698.91,23.32,24.29,72.79,602,17.71,33.33,45.0
25110.5,45.67,26.4,25.86,476,31.16,36.61,64.69
4943.78,38.88,39.59,12.31,79,25.82,48.38,82.18
4280.17,56.32,31.32,82.86,135,50.78,38.05,84.08
28337.8,34.53,31.33,81.26,485,19.98,35.68,63.0
3837.76,31.49,20.38,27.48,50,13.91,29.68,91.83
33052.54,40.03,39.19,72.42,598,22.24,42.64,45.0
28543.45,38.24,15.8,13.84,481,32.49,25.0,68.83
4172.6,33.78,11.86,32.8,121,64.38,25.0,91.18
4308.67,47.75,16.71,59.89,83,39.88,25.0,92.48
39478.94,50.38,19.37,71.05,698,10.06,25.0,45.0
15596.56,54.12,19.88,10.83,295,65.12,26.43,76.84
15455.04,58.91,33.47,36.1,285,14.47,40.61,73.88
32699.18,30.67,17.62,27.15,587,27.74,25.0,46.11
37942.69,48.64,33.68,89.9,660,46.81,41.67,45.0
